States,Position
INIT, -2, -3, -0.410553
First time, -5, -5, -0.410553
Second time, -5, -3, -0.410553
Third time, 2, -4, -0.410553
Fourth time, -4, -4, -0.410553
Fifth time, 2, 1, -0.410553
Scout1G, -2, 4, -0.410553
Scout1R, -5, 3, -0.410553
Scout1B, 1, 2, -0.410553
Scout2, 2, -4, -0.410553
Guard, -4, 0, -0.410553
Warrior1, -2, -4, -0.410553
Warrior2, -2, -4, -0.410553
MinerG, -3, -3, -0.410553
MinerR, 4, 3, -0.410553
MinerB, 3, -1, -0.410553
,,
Actions,Position
Lay Scout1G, 2, 1, -0.410553
Lay Scout1R, 3, 2, -0.410553
Lay Scout1B, 1, -5, -0.410553
Lay Scout2, -2, -5, -0.410553
Lay Guard, -5, -3, -0.410553
Lay Warrior1, -4, 0, -0.410553
Lay Warrior2, -3, 3, -0.410553
Lay MinerG, -1, 0, -0.410553
Lay MinerR, -1, 0, -0.410553
Lay MinerB, 0, 1, -0.410553
,,
Operators,Position
B>SS, -2, 0, -0.410553
SgetRT, -5, 4, -0.410553
B>SS, 1, 3, -0.410553
SgetRT, 3, 3, -0.410553
B>SS, -2, -5, -0.410553
SgetRT, 4, -4, -0.410553
B>SS, 1, -1, -0.410553
SgetRT, 4, -4, -0.410553
B>SS, -1, 3, -0.410553
SgetRT, -3, 4, -0.410553
RgetRT, -1, 4, -0.410553
B>SS, 2, 3, -0.410553
SgetRT, 3, -2, -0.410553
RgetRT, 1, 4, -0.410553
B>SS, -4, -1, -0.410553
SgetRT, -4, -3, -0.410553
RgetRT, -2, -1, -0.410553
B>SS, 1, -2, -0.410553
SgetRT, 4, 3, -0.410553
RgetRT, 2, 0, -0.410553
B>SS, -1, 3, -0.410553
SgetRT, 0, 2, -0.410553
RgetRT, 4, 3, -0.410553
B>SS, -2, -4, -0.410553
SgetRT, -5, -4, -0.410553
RgetRT, 3, -5, -0.410553
B>SS, 3, -1, -0.410553
SgetRT, 3, 4, -0.410553
RgetRT, -2, 1, -0.410553
B>SS, 1, -2, -0.410553
SgetRT, 4, 4, -0.410553
RgetRT, -1, 0, -0.410553
B>SS, 3, 0, -0.410553
SgetRT, 2, -3, -0.410553
RgetRT, -5, 2, -0.410553
