States,Position
INIT, -1, 5, 0
green ressource found, -9, 0, 0
red ressource found, -4, 0, 0
,,
Actions,Position
trace green, -10, -5, 0
goto green, -8, -5, 0
trace red, -5, -5, 0
goto red, -3, -5, 0
goto elsewhere, 0, -5, 0
goto search, 3, -5, 0
,,
Operators,Position
V[]aggV*, 3, -6, 0
VgetRT, -8, -1, 0
V[]aggV*, -3, 0, -0.410553
VgetRT, 2, 3, -0.410553
getClosestResource_macro, -3, -8, 0
V[]aggV*, 4, 3, -0.410553
VgetRT, -2, -3, -0.410553
V[]aggV*, -5, -5, -0.410553
VgetRT, -2, 4, -0.410553
getClosestResource_macro, 3, -5, -0.410553
V[]aggV*, -5, -2, -0.410553
VrandCircleVS, 0, -7, 0
VgetRT, -1, -2, -0.410553
V[]aggV*, -4, 2, -0.410553
VgetRT, 2, 1, -0.410553
somethingInSight_macro, -2, 2, 0
resourcesColor_macro, -5, 1, 0
somethingInSight_macro, -2, 1, -0.410553
resourcesColor_macro, 2, 3, -0.410553
B<SS, -6, -1, 0
SdistVV, -2, -2, 0
VgetRT, -5, -5, -0.410553
VgetRT, -3, -1, -0.410553
B&&BB, -6, -2, 0
B<SS, -1, 2, -0.410553
SminValS[], -7, -1, 0
S[]distV[]V, -7, 0, 0
V[]getR[]T, -6, 0, 0
resourcesColor_macro, -5, -4, -0.410553
VgetRT, 1, 3, -0.410553
somethingNotInSight_macro, -6, -3, 0
traceColor_macro, -7, -3, 0
B&&BB, -2, -1, -0.410553
B<SS, -1, 4, -0.410553
SminValS[], 2, 1, -0.410553
S[]distV[]V, 1, -4, -0.410553
V[]getR[]T, -3, 4, -0.410553
resourcesColor_macro, -4, 2, -0.410553
VgetRT, -3, 2, -0.410553
somethingNotInSight_macro, -4, -5, -0.410553
traceColor_macro, 4, -3, -0.410553
,,
Parameters,Position
const color=Green,-7, -2, 0
ref:home,-4, -8, 0
const txt=pos,-6, 1, 0
const color=Green,-1, 1, -0.410553
const txt=pos,-5, -1, -0.410553
const color=Red,-4, 2, 0
ref:home,-3, -1, -0.410553
const txt=pos,1, 2, -0.410553
const color=Red,2, -4, -0.410553
const txt=pos,-1, -3, -0.410553
ref:self,-8, -2, 0
const txt=curPos,-8, 0, 0
const scal=20,1, -7, 0
ref:self,-3, -2, -0.410553
const txt=trgPos,-2, -3, 0
const color=Green,0, -2, -0.410553
const color=Red,-2, -2, -0.410553
ref:self,-5, 4, -0.410553
const txt=curPos,-3, 3, -0.410553
ref:self,-3, 0, -0.410553
const txt=trgPos,-5, -2, -0.410553
const scal=1,-5, -1, 0
const color=Green,2, 3, -0.410553
const txt=pos,3, -1, -0.410553
ref:self,4, -1, -0.410553
const txt=curPos,-2, 0, -0.410553
const scal=1,-4, 4, -0.410553
const color=Green,-2, -1, -0.410553
const color=Red,-2, 0, -0.410553
const txt=pos,-2, -5, -0.410553
ref:self,2, -3, -0.410553
const txt=curPos,-4, 0, -0.410553
const scal=1,-5, -1, -0.410553
const color=Green,-1, -5, -0.410553
