States,Position
INIT, -10.65164, -28.1775, 0
green ressource found, -21.01029, -32.44823, 0
red ressource found, -5.933835, -26.26528, 0
,,
Actions,Position
goto elsewhere, -22.01048, -29.78436, 0
goto search, -3.374594, -32.29623, 0
trace green, -18.05563, -40.69323, 0
goto green, -21.84425, -35.65771, 0
trace red, -2.068508, -28.97542, 0
goto red, -0.5668058, -33.96403, 0
,,
Operators,Position
V[]aggV*, -23.3957, -31.05877, 0
VrandCircleVS, -23.48805, -34.40178, 0
V[]aggV*, -16.43792, -36.08779, 0
V[]aggV*, -17.08373, -43.57448, 0
VgetRT, -14.84537, -45.43668, 0
V[]aggV*, -22.39834, -38.05877, 0
VgetRT, -22.60151, -39.38858, 0
RgetR[]S, -22.98126, -40.55995, 0
SminIdS[], -24.21787, -39.66523, 0
S[]distV[]V, -26.12024, -38.39082, 0
V[]getR[]T, -27.50547, -37.22723, 0
R[]where==R[]TC, -27.74557, -36.10058, 0
R[]where==R[]TC, -23.64616, -41.35415, 0
V[]aggV*, -11.43792, -31.08779, 0
VgetRT, -15.43792, -32.08779, 0
V[]aggV*, -18.43792, -35.08779, 0
VgetRT, -18.19132, -36.83627, 0
RgetR[]S, -12.51707, -37.2461, 0
SminIdS[], -10.43792, -35.08779, 0
S[]distV[]V, -15.43792, -34.08779, 0
V[]getR[]T, -17.43792, -35.08779, 0
R[]where==R[]TC, -10.43792, -37.08779, 0
R[]where==R[]TC, -13.43792, -36.08779, 0
B>SS, -14.43792, -37.08779, 0
SsizeS[], -14.43792, -34.08779, 0
R[]where==R[]TC, -19.43792, -39.08779, 0
B>SS, -17.43792, -38.08779, 0
SsizeS[], -18.81929, -38.2769, 0
R[]where==R[]TC, -16.43792, -38.08779, 0
B!=VV, -11.43792, -36.08779, 0
B&&BB, -14.43792, -34.08779, 0
B<SS, -19.43792, -38.08779, 0
SminValS[], -14.43792, -32.08779, 0
S[]distV[]V, -10.43792, -31.08779, 0
VgetRT, -10.43792, -37.08779, 0
R[]where==R[]TC, -15.43792, -33.08779, 0
B==SS, -18.43792, -32.08779, 0
SsizeS[], -17.43792, -36.08779, 0
R[]where==R[]TC, -17.43792, -36.08779, 0
B&&BB, -15.43792, -33.08779, 0
B<SS, -14.43792, -36.08779, 0
SminValS[], -13.43792, -32.08779, 0
S[]distV[]V, -12.43792, -35.08779, 0
VgetRT, -16.43792, -30.08779, 0
R[]where==R[]TC, -12.43792, -38.08779, 0
B==SS, -12.43792, -39.08779, 0
SsizeS[], -17.43792, -30.08779, 0
R[]where==R[]TC, -13.43792, -33.08779, 0
,,
Parameters,Position
vec:curPos,-23.50652, -35.62077, 0
const scal=20,-24.0052, -33.49676, 0
vec:trgPos,-19.43792, -36.08779, 0
const color=Green,-19.71766, -41.25737, 0
ref:home,-16.56305, -45.58444, 0
const txt=position,-13.09075, -45.51056, 0
ref[]:res,-27.65322, -35.01087, 0
const txt=color,-26.74821, -35.15863, 0
const color=Green,-26.41576, -35.95282, 0
const txt=position,-26.48964, -36.56232, 0
vec:curPos,-25.27064, -37.55968, 0
ref[]:res,-22.68574, -42.16681, 0
const txt=color,-25.40078, -39.82117, 0
const color=Green,-24.60659, -41.98212, 0
const txt=position,-23.50652, -38.66827, 0
const color=Red,-12.43792, -35.08779, 0
ref:home,-13.43792, -34.08779, 0
const txt=position,-16.43792, -30.08779, 0
ref[]:res,-18.43792, -30.08779, -0.410553
const txt=color,-19.43792, -34.08779, 0
const color=Red,-19.43792, -38.08779, 0
const txt=position,-19.43792, -37.08779, 0
vec:curPos,-12.49049, -35.6655, 0
ref[]:res,-10.43792, -38.08779, -0.410553
const txt=color,-15.43792, -30.08779, 0
const color=Red,-11.43792, -35.08779, 0
const txt=position,-12.43792, -38.08779, 0
ref[]:res,-13.43792, -34.08779, -0.410553
const txt=color,-17.43792, -38.08779, 0
const color=Green,-17.43792, -34.08779, 0
const scal=0,-17.43792, -38.08779, 0
ref[]:res,-15.43792, -38.08779, -0.410553
const txt=color,-16.43792, -32.08779, 0
const color=Red,-15.43792, -36.08779, 0
const scal=0,-13.56173, -36.34887, 0
vec:curPos,-12.43792, -36.08779, 0
vec:trgPos,-11.43792, -33.08779, 0
const txt=population,-14.43792, -37.08779, 0
vec:curPos,-12.43792, -39.08779, 0
const scal=1,-16.87591, -32.51787, 0
const scal=0,-14.43792, -34.08779, 0
ref[]:traces,-19.43792, -36.08779, -0.410553
const txt=color,-16.43792, -39.08779, 0
const color=Green,-19.90494, -37.13528, 0
ref[]:res,-12.43792, -38.08779, -0.410553
const txt=color,-12.43792, -36.08779, 0
const color=Red,-17.43792, -32.08779, 0
const txt=population,-12.43792, -36.08779, 0
vec:curPos,-17.43792, -31.08779, 0
const scal=1,-12.43792, -33.08779, 0
const scal=0,-14.43792, -36.08779, 0
ref[]:traces,-16.94168, -33.80006, 0
const txt=color,-15.43792, -34.08779, 0
const color=Red,-16.43792, -37.08779, 0
